rouge-1,rouge-2,rouge-l
0.09523809178130524,0.028169010918468917,0.09523809178130524
0.12499999641113292,0.05555555225694465,0.09374999641113295
0.41558441095631643,0.17777777313333343,0.3896103849822905
0.2162162117421476,0.047058819111419105,0.18918918471512064
0.14207649881095297,0.03389830142092829,0.12021857531368524
0.43137254522106894,0.2580645130072841,0.43137254522106894
0.41269840791131274,0.17948717488494426,0.34920634441924925
0.30434782321361065,0.1403508750384734,0.26086956234404535
0.5172413747919143,0.3243243199415632,0.4137930989298454
0.34374999517578125,0.21428570946712028,0.34374999517578125
0.45454544954545456,0.21621621121621637,0.393939388939394
0.6060606010606061,0.42105262658241,0.5757575707575758
0.753623183415249,0.6075949317288897,0.7246376761688721
0.7297297247881666,0.5714285664994332,0.7027026977611397
0.6849315018952901,0.4878048730963712,0.6027397210733721
0.4772727222727273,0.2666666616671202,0.43181817681818185
0.47999999515022235,0.28235293642629766,0.45333332848355556
0.3888888841358025,0.11904761433106596,0.36111110635802474
0.2857142807256236,0.06521738638941436,0.2857142807256236
0.37499999505,0.22222221734320996,0.37499999505
0.24719100710011369,0.08247422278669378,0.22471909698775408
0.2682926793664485,0.13483145731599552,0.2682926793664485
0.5242718399095109,0.3275862021105827,0.4854368884532002
0.18918918665814466,0.07499999781250007,0.16216215963111763
0.5048543641813555,0.27027026561155754,0.4854368884532002
0.6206896501724138,0.3749999950086806,0.603448270862069
0.3333333290589569,0.18181817759412314,0.3333333290589569
0.4130434736011342,0.22018348159245865,0.4130434736011342
0.633663361446917,0.43548386603147765,0.633663361446917
0.359550557257922,0.21153845707285512,0.3370786471455625
0.4489795870054144,0.20833332847222233,0.4489795870054144
0.5217391255198489,0.2553191440470802,0.5217391255198489
0.4090909041322315,0.13953487874526788,0.36363635867768596
0.25714285306122453,0.10389610005059889,0.25714285306122453
0.16666666172839517,0.0,0.16666666172839517
0.19999999601250007,0.15384615003287322,0.19999999601250007
0.29999999601250005,0.10256409875082198,0.19999999601250007
0.42857142429705225,0.28571428143990935,0.42857142429705225
0.23255813514332083,0.09523809096371902,0.23255813514332083
0.7096774143756504,0.5624999950439454,0.6129032208272632
0.4848484798530762,0.3243243193279767,0.4848484798530762
0.3934426180166622,0.20588234801038074,0.3934426180166622
0.5245901590002687,0.3768115892543584,0.5245901590002687
0.3692307642414202,0.18918918419284161,0.3384615334721894
0.22222221852839513,0.08163264957934209,0.22222221852839513
0.11111110797839514,0.0,0.11111110797839514
0.15789473383656513,0.0,0.15789473383656513
0.09999999711250009,0.0,0.09999999711250009
0.054054050986121434,0.0,0.054054050986121434
0.09302325308815583,0.0,0.09302325308815583
0.44897958683696615,0.214285709286235,0.4217687024832246
0.48951048451269014,0.2164948403629505,0.4335664285686342
0.23943661472227742,0.08648648151117633,0.2253521076800239
0.4339622598629406,0.2553191447532821,0.3962264108063368
0.41269840782438905,0.14201182946675553,0.3492063443323256
0.6578947318732687,0.5054945005240913,0.6052631529259005
0.45614034683902743,0.24999999641113285,0.45614034683902743
0.5499999950031251,0.3298969022170263,0.4999999950031251
0.3529411716825259,0.1249999952531252,0.29411764227076126
0.31884057488762874,0.09876542731900649,0.2028985459021215
0.04878048411659754,0.0,0.04878048411659754
0.2033898276931916,0.11764705652681663,0.2033898276931916
0.19999999722222223,0.08823529182093431,0.19999999722222223
0.10526315401662063,0.0,0.10526315401662063
0.017094015530718237,0.0,0.017094015530718237
0.6307692257798817,0.5614035038104033,0.6307692257798817
0.5671641741055915,0.4494381972572908,0.5671641741055915
0.24444444075061733,0.11965811639710727,0.22222221852839513
0.35955055819214743,0.19999999651250003,0.31460673796742833
0.6307692257798817,0.5443786932754456,0.6307692257798817
0.6279069719632235,0.5132743315686429,0.5813953440562467
0.5647058776027682,0.4181818135537191,0.5647058776027682
0.5205479411071496,0.369565213752363,0.5205479411071496
0.4054054012271731,0.21505375971788648,0.4054054012271731
0.6236559090484449,0.5166666618055558,0.6021505327043589
0.5084745720310256,0.2769230729183432,0.47457626694627986
0.6923076873208417,0.4395604345658737,0.666666661679816
0.41269840815318726,0.14492753188825888,0.34920634466112377
0.5783132480127741,0.2947368371058172,0.5542168624706055
0.3103448234423306,0.12307691907218948,0.27586206482164094
0.5957446759619739,0.42307691819526627,0.5957446759619739
0.682926824271267,0.5531914843820736,0.682926824271267
0.530612240066639,0.4406779614248779,0.530612240066639
0.849999995,0.7391304297920607,0.849999995
0.4313725442522107,0.2758620642568371,0.39215685797770095
0.5454545407244159,0.43103447804994055,0.5454545407244159
0.5833333283347223,0.4027777727777778,0.5833333283347223
0.6050420118099005,0.3289473634349031,0.5714285664317493
0.3373493936942953,0.12631578580387823,0.28915662260995795
0.2058823510942907,0.15384615242603553,0.2058823510942907
0.3571428521428572,0.19354838210197725,0.3571428521428572
0.4516128982726327,0.36363635867768596,0.4516128982726327
0.4999999950000001,0.3333333283333334,0.4285714235714286
0.4615384565680473,0.35714285216836733,0.4615384565680473
